commentId,시점관계,예측_방향,예측_날짜,확신도,근거_유형,Class0_사유,_error
170821414,예측,상승,,0.3,단순감정,,
170851250,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
170807684,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170847904,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170814734,예측,상승,,0.6,단순감정,,
170817908,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170817756,리액션,없음,,0.0,단순감정,예측 없는 순수 질문,
170815014,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
170830484,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
170835272,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170849454,리액션,없음,,0.0,없음,예측 없는 순수 질문,
170832032,리액션,없음,,0.0,기타,예측 없는 리액션,
170820986,예측,상승,,0.65,뉴스,,
170819084,리액션,없음,,0.0,없음,예측 없는 리액션,
170794400,예측,상승,,0.6,단순감정,,
170819046,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170827556,예측,상승,,0.6,뉴스,,
170849614,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
170835208,리액션,없음,,0.0,차트,예측 없는 리액션,
170798366,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170817320,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170811914,리액션,없음,,0.0,없음,종목과 무관한 잡담,
170843214,리액션,없음,,0.0,없음,예측 없는 리액션,
170828686,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170832316,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
170848114,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
170825782,리액션,없음,,0.0,없음,예측 없는 순수 질문,
170837472,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170820340,예측,상승,,0.3,단순감정,,
170807486,리액션,없음,,0.0,없음,예측 없는 순수 질문,
170811448,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
170852830,예측,상승,,0.6,뉴스,,
170802432,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170844018,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170790716,리액션,없음,,0.0,단순감정,예측 없는 순수 질문,
170849028,리액션,없음,,0.0,뉴스,예측 없는 리액션,
170828926,예측,상승,,0.5,차트,,
170799388,리액션,없음,,0.0,없음,예측 없는 순수 질문,
170794880,예측,상승,,0.6,뉴스,,
170809022,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
170785764,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170792048,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170841278,리액션,없음,,0.0,없음,종목과 무관한 잡담,
170844124,예측,상승,,0.3,단순감정,,
170823450,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170791024,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170790626,리액션,없음,,0.0,차트,예측 없는 순수 질문,
170791514,리액션,없음,,0.0,단순감정,예측 없는 순수 질문,
170826226,리액션,없음,,0.0,뉴스,예측 없는 리액션,
170821792,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170811222,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
170823284,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
170801246,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170804302,리액션,없음,,0.0,없음,종목과 무관한 잡담,
170794302,리액션,없음,,0.0,없음,예측 없는 순수 질문,
170845022,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170840028,예측,상승,2025-12-31,0.5,단순감정,,
170808646,예측,상승,,0.6,단순감정,,
170852464,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170826162,리액션,없음,,0.0,없음,예측 없는 순수 질문,
170790468,예측,상승,,0.6,단순감정,,
170835120,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170853256,예측,상승,,0.3,단순감정,,
170819914,예측,상승,2025-12-05,0.6,차트,,
170814230,리액션,없음,,0.0,뉴스,예측 없는 리액션,
170805842,리액션,없음,,0.0,뉴스,예측 없는 리액션,
170807368,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170808264,리액션,없음,,0.0,단순감정,예측 없는 리액션,
170792220,리액션,없음,,0.0,뉴스,예측 없는 리액션,
170824418,리액션,없음,,0.0,없음,예측 없는 리액션,
170823334,리액션,없음,,0.0,단순감정,예측 없는 리액션,
