commentId,닉네임_ID,종목명,주주_여부,작성일,text,시점관계,예측_방향,예측_날짜,확신도,근거_유형,Class0_사유,Class,dir_realized,date_valid,date_hit,evaluable,R_dir
170853618,d9882e47bee617fa,TSLA,False,2025-12-05T13:56:56+09:00,ㄴㄷㅈ 늦었네,리액션,없음,,0.0,단순감정,예측 없는 리액션,0,False,False,False,True,-2.06
170853256,5843992d83050e00,TSLA,True,2025-12-05T13:55:29+09:00,테슬라 500가나요? 허헣,예측,상승,,0.3,단순감정,,0,False,False,False,True,-2.06
170852830,62e5348d50a87c0c,TSLA,True,2025-12-05T13:53:41+09:00,호재와 악재가 항상 공존하는 그런데도 이미 이정도고 이후의 잠재력까지 생각하면 쟁여두고 싶다.,예측,상승,,0.6,뉴스,,1,False,False,False,True,-2.06
170852464,f23e4a4cf87025ea,TSLA,True,2025-12-05T13:52:31+09:00,🥂 유튜브 한 해 알고리즘 정산이 되었군요❤️ 오직 테슬라 팔란티어 입니다😍 1.어제 올라온거 간단하게 브리핑 2.미국 주식 국룰 (질문러들 a뉴스 있을까요) 3.심도 깊은 분석과 강세론자 4.조목조목 낙관론자 5.테슬라 이해도 높으신 모카좌 그리고 MK3 님도 즐겨봅니다ㅎㅎ,리액션,없음,,0.0,단순감정,예측 없는 리액션,0,False,False,False,True,-2.06
170851250,5bad009eacd7f673,TSLA,False,2025-12-05T13:47:46+09:00,테슬라 힘내자~~~!!!,리액션,없음,,0.0,단순감정,단순 감정·노이즈,0,False,False,False,True,-2.06
170849614,b0b8b7da254ce2ad,TSLA,True,2025-12-05T13:40:21+09:00,테멘 테멘,리액션,없음,,0.0,단순감정,단순 감정·노이즈,0,False,False,False,True,-2.06
170849454,d533c2e519c8f6ef,TSLA,True,2025-12-05T13:39:32+09:00,많이 올라서 망설이는데 지금사도 될까요?,리액션,없음,,0.0,없음,예측 없는 순수 질문,0,False,False,False,True,-2.06
170849028,17a52d9517ddcf76,TSLA,True,2025-12-05T13:37:43+09:00,"컨슈머 리포트2026 테슬라가 이번에 컨슈머리포트 2026 자동차 브랜드 평가에서 처음으로 종합 Top 10에 쏙 들어갔습니다! 작년엔 18위였는데 무려 8계단이나 훅! 올라가면서 ‘엘리트 그룹’에 당당히 입성했네요 특히 신뢰도 부문에서는 9위를 차지해서, 전기차 브랜드 중에서는 유일하게 Top 10에 들어간 주인공이 되었습니다 에게~~하실분 계시지만 보수적인 이 영역에서의 놀라운 재평가라는 시각이 우세하다고 하네요~눈길 조심들 하세요",리액션,없음,,0.0,뉴스,예측 없는 리액션,0,False,False,False,True,-2.06
170848912,72512cc7e3a37768,TSLA,True,2025-12-05T13:37:06+09:00,안녕하세요 모델X 산셈치고 들어왔습니다,리액션,없음,,0.0,단순감정,예측 없는 리액션,0,False,False,False,True,-2.06
170848114,793a0e4018cfd65e,TSLA,True,2025-12-05T13:33:39+09:00,심정지니..,리액션,없음,,0.0,단순감정,단순 감정·노이즈,0,False,False,False,True,-2.06
170847904,52e9d2bf30f66b65,TSLA,True,2025-12-05T13:32:39+09:00,산타랠리랠리하는데 그냥좀 오르면 산타랠리잉?,리액션,없음,,0.0,단순감정,예측 없는 리액션,0,False,False,False,True,-2.06
170845022,66ec8950df2f1755,TSLA,True,2025-12-05T13:18:39+09:00,제발 나 좀 살려줘 나 탈출하고 싶어,리액션,없음,,0.0,단순감정,예측 없는 리액션,0,False,False,False,True,-2.06
170844124,96f2106aedc9b3f4,TSLA,False,2025-12-05T13:14:43+09:00,제발 더 가자!,예측,상승,,0.3,단순감정,,0,False,False,False,True,-2.06
170844018,d89f87516fca8bd8,TSLA,False,2025-12-05T13:14:13+09:00,지수만도 못오르냐,리액션,없음,,0.0,단순감정,예측 없는 리액션,0,False,False,False,True,-2.06
170843214,e868ea31a6fb6c9e,TSLA,False,2025-12-05T13:10:48+09:00,테슬라 주식 샀어요,리액션,없음,,0.0,없음,예측 없는 리액션,0,False,False,False,True,-2.06
170841278,c85b47531f61404f,TSLA,True,2025-12-05T13:02:00+09:00,응모 글남기면 응모된다고하니...,리액션,없음,,0.0,없음,종목과 무관한 잡담,0,False,False,False,True,-2.06
170840028,b25d0d03ffd86d6b,TSLA,True,2025-12-05T12:55:54+09:00,12월말 까지 파이팅,예측,상승,2025-12-31,0.5,단순감정,,1,False,True,False,True,-4.75
170837472,df4d43d26d469b8d,TSLA,True,2025-12-05T12:44:20+09:00,환율 실화냐 수익률 2.3% 차이.. 계속 벌어지네,리액션,없음,,0.0,단순감정,예측 없는 리액션,0,False,False,False,True,-2.06
