commentId,시점관계,예측_방향,예측_날짜,확신도,근거_유형,Class0_사유,_error
217702236,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217679924,리액션,없음,,0.0,없음,종목과 무관한 잡담,
217597090,예측,상승,2026-03-31,0.3,차트,,
217582926,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217603476,리액션,없음,,0.0,뉴스,예측 없는 리액션,
217619200,예측,상승,2026-04-30,0.65,실적,,
217558268,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217277556,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217401876,리액션,없음,,0.0,기타,예측 없는 리액션,
217595830,예측,상승,,0.3,단순감정,,
217595704,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217612646,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217701968,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217684944,예측,하락,2026-04-01,0.7,단순감정,,
217660506,예측,상승,2026-03-31,0.6,차트,,
217692176,예측,상승,,0.6,기타,,
217724712,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217722126,예측,하락,,0.7,단순감정,,
217700674,예측,하락,2026-04-01,0.6,단순감정,,
217624550,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217296408,리액션,없음,,0.0,뉴스,예측 없는 리액션,
217367314,리액션,없음,,0.0,없음,단순 감정·노이즈,
217712524,리액션,없음,,0.0,없음,종목과 무관한 잡담,
217655114,예측,상승,,0.7,단순감정,,
217178360,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217083284,예측,하락,,0.6,단순감정,,
217125412,예측,상승,,0.6,기타,,
217211208,예측,하락,,0.6,차트,,
217127482,리액션,없음,,0.0,뉴스,예측 없는 리액션,
217131354,리액션,없음,,0.0,차트,예측 없는 리액션,
217125872,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
217146906,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217246990,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217253352,리액션,없음,,0.0,차트,예측 없는 리액션,
217130738,리액션,없음,,0.0,없음,예측 없는 리액션,
217119542,예측,하락,2026-04-01,0.6,단순감정,,
217128296,리액션,없음,,0.0,뉴스,예측 없는 리액션,
217130468,리액션,없음,,0.0,없음,예측 없는 리액션,
217216754,리액션,없음,,0.0,뉴스,예측 없는 리액션,
217105212,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217026900,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217112140,리액션,없음,,0.0,뉴스,예측 없는 리액션,
217174698,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217152092,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217092820,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
217087660,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217113214,예측,하락,2026-04-01,0.6,뉴스,,
217214176,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216976466,리액션,없음,,0.0,단순감정,예측 없는 리액션,
217025768,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216991776,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216612464,리액션,없음,,0.0,없음,예측 없는 리액션,
216652224,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216593826,리액션,없음,,0.0,없음,종목과 무관한 잡담,
216587456,예측,상승,,0.6,기타,,
216606558,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216827294,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216839444,리액션,없음,,0.0,뉴스,예측 없는 리액션,
216942260,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216958656,예측,하락,2026-03-31,0.6,단순감정,,
216862120,예측,하락,,0.6,차트,,
216581220,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
216881390,예측,상승,,0.6,단순감정,,
216608640,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
216659548,예측,상승,,0.7,단순감정,,
216804420,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216589674,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
216616608,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
216779086,예측,하락,,0.6,단순감정,,
216651220,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216585242,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
216851784,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
216545412,예측,하락,2026-03-30,0.7,단순감정,,
216498720,예측,하락,,0.7,단순감정,,
216504050,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216386202,리액션,없음,,0.0,뉴스,예측 없는 리액션,
216443806,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
216507810,리액션,없음,,0.0,뉴스,예측 없는 리액션,
216361460,예측,상승,,0.3,차트,,
216359514,리액션,없음,,0.0,단순감정,예측 없는 리액션,
216380022,리액션,없음,,0.0,기타,예측 없는 리액션,
216425610,예측,없음,2026-03-30,0.3,뉴스,,
216490796,리액션,없음,,0.0,단순감정,종목과 무관한 잡담,
216545098,리액션,없음,,0.0,뉴스,예측 없는 리액션,
216423602,예측,상승,,0.5,단순감정,,
216443816,리액션,없음,,0.0,단순감정,단순 감정·노이즈,
216435792,리액션,없음,,0.0,뉴스,예측 없는 리액션,
